ID,LUCODES_IDENTIFIER,CODE_TYPE,CODE_NAME,ABBREVIATION,DESCRIPTION,SORT_ORDER,R_SEG,CY
107,7484030.0,RESOURCE_TYPE,"Boat, Rescue",RB,"Boat, Rescue",200.0,,2018.0
108,7484031.0,RESOURCE_TYPE,Rescue Unit,RSQU,Rescue Unit,220.0,,2018.0
109,7484032.0,RESOURCE_TYPE,"Shower, Mobile",MSHWR,"Shower, Mobile",240.0,,2018.0
110,7484033.0,RESOURCE_TYPE,Urban SAR Team,USAR,Urban SAR Team,250.0,,2018.0
111,7484034.0,RESOURCE_TYPE,"Tender, Water (Tactical)",WTDT,"Tender, Water (Tactical)",260.0,,2018.0
112,7484035.0,WORLD_TIME_ZONE,US/Alaska,,US/Alaska,10.0,,2018.0
113,7484036.0,RESOURCE_TYPE,Overhead,OVH,Overhead,9999.0,,2018.0
114,7484037.0,UTM_ZONE,UTM Zone 01,01,Zone Range: 180W - 174W      Central Meridian: 177W,1.0,,2018.0
115,7484038.0,UTM_ZONE,UTM Zone 02,02,Zone Range: 174W - 168W      Central Meridian: 171W,2.0,,2018.0
116,7484039.0,UTM_ZONE,UTM Zone 03,03,Zone Range: 168W - 162W      Central Meridian: 165W,3.0,,2018.0
117,7484040.0,UTM_ZONE,UTM Zone 04,04,Zone Range: 162W - 156W      Central Meridian: 159W,4.0,,2018.0
118,7484041.0,UTM_ZONE,UTM Zone 05,05,Zone Range: 156W - 150W      Central Meridian: 153W,5.0,,2018.0
119,7484042.0,UTM_ZONE,UTM Zone 06,06,Zone Range: 150W - 144W      Central Meridian: 147W,6.0,,2018.0
120,7484043.0,UTM_ZONE,UTM Zone 07,07,Zone Range: 144W - 138W      Central Meridian: 141W,7.0,,2018.0
121,7484044.0,UTM_ZONE,UTM Zone 08,08,Zone Range: 138W - 132W      Central Meridian: 135W,8.0,,2018.0
122,7484045.0,UTM_ZONE,UTM Zone 09,09,Zone Range: 132W - 126W      Central Meridian: 129W,9.0,,2018.0
123,7484046.0,UTM_ZONE,UTM Zone 10,10,Zone Range: 126W - 120W      Central Meridian: 123W,10.0,,2018.0
124,7484047.0,INCIDENT_TYPE,Wildfire,WF,,1.0,,2018.0
125,7484048.0,INCIDENT_TYPE,Chemical Disaster,CD,,2.0,,2018.0
126,7484049.0,INCIDENT_TYPE,Dam Failure,DF,,3.0,,2018.0
127,7484050.0,INCIDENT_TYPE,Biological Outbreak,BO,,4.0,,2018.0
128,7484051.0,INCIDENT_TYPE,Earthquake,EQ,,5.0,,2018.0
129,7484052.0,INCIDENT_TYPE,Flood,FL,,6.0,,2018.0
130,7484053.0,INCIDENT_TYPE,Foreign Disaster Assistance,FDA,,7.0,,2018.0
131,7484054.0,INCIDENT_TYPE,Hazardous Materials,HAZMAT,,8.0,,2018.0
132,7484055.0,INCIDENT_TYPE,Heat Event,HEAT,,9.0,,2018.0
133,7484056.0,INCIDENT_TYPE,Hurricane,HURR,,10.0,,2018.0
134,7484057.0,INCIDENT_TYPE,Mass Earth Movement / Avalanche,MEM/A,,11.0,,2018.0
135,7484058.0,INCIDENT_TYPE,Nuclear Emergency,NE,,12.0,,2018.0
136,7484059.0,INCIDENT_TYPE,Civil Unrest / People Gathering,CU/PG,,13.0,,2018.0
137,7484060.0,INCIDENT_TYPE,Search and Rescue / Recovery,SR/R,,14.0,,2018.0
138,7484061.0,INCIDENT_TYPE,Terrorism,TR,,15.0,,2018.0
139,7484062.0,INCIDENT_TYPE,Thunderstorm,TH,,1.0,,2018.0
140,7484063.0,INCIDENT_TYPE,Tornado,TO,,16.0,,2018.0
141,7484064.0,INCIDENT_TYPE,Tsunami,TS,,17.0,,2018.0
142,7484065.0,INCIDENT_TYPE,Volcanic Eruption,VE,,18.0,,2018.0
143,7484066.0,INCIDENT_TYPE,Winter Storm,WS,,19.0,,2018.0
144,7484067.0,TT,NIMO,N,,12.0,,2018.0
145,7484068.0,INCIDENT_TYPE,Other,OT,,19.0,,2018.0
146,7484069.0,FIRE_SUPPRESSION_STRATEGY,Monitor,M,,1.0,,2018.0
147,7484070.0,FIRE_SUPPRESSION_STRATEGY,Confine,C,,2.0,,2018.0
148,7484071.0,FIRE_SUPPRESSION_STRATEGY,Point Zone Protection,PZP,,3.0,,2018.0
149,7484072.0,RESOURCE_TYPE,Aerial Apparatus,AEAP,Aerial Apparatus,1001.0,,2018.0
150,7484073.0,RESOURCE_TYPE,Rescue/Medical Unit,RMDU,Rescue/Medical Unit,222.0,,2018.0
151,7484074.0,RESOURCE_TYPE,Heavy Rescue Unit,HRU,Heavy Rescue Unit,221.0,,2018.0
152,7484075.0,FIRE_SUPPRESSION_STRATEGY,Full Suppression,FS,,7.0,,2018.0
153,7484076.0,STRUCTURE_SUMMARY_TYPE,Multiple Residences,MR,,2.0,,2018.0
154,7484077.0,STRUCTURE_SUMMARY_TYPE,Mixed Commercial / Residential,MC/R,,3.0,,2018.0
155,7484078.0,STRUCTURE_SUMMARY_TYPE,Nonresidential Commercial Property,NRC,,4.0,,2018.0
156,7484079.0,STRUCTURE_SUMMARY_TYPE,Other Minor Structures,OTH,,5.0,,2018.0
157,7484080.0,NORTH_AMERICAN_TIME_ZONE,US/Central,CST/CDT,US/Central (CST/CDT),2.0,,2018.0
158,7484081.0,NORTH_AMERICAN_TIME_ZONE,US/Mountain,MST/MDT,US/Mountain (MST/MDT),3.0,,2018.0
159,7484082.0,NORTH_AMERICAN_TIME_ZONE,US/Pacific,PST/PDT,US/Pacific (PST/PDT),4.0,,2018.0
160,7484083.0,NORTH_AMERICAN_TIME_ZONE,US/Alaska,AKST/AKDT,US/Alaska (AKST/AKDT),5.0,,2018.0
161,7484084.0,NORTH_AMERICAN_TIME_ZONE,US/Aleutian,HAST/HADT,US/Aleutian (HAST/HADT),6.0,,2018.0
162,7484085.0,NORTH_AMERICAN_TIME_ZONE,US/Hawaii,HST/HDT,US/Hawaii (HST/HDT),7.0,,2018.0
163,7484086.0,CASUALTY_ILLNESS_TYPE,Fatalities,F,,1.0,,2018.0
164,7484087.0,CASUALTY_ILLNESS_TYPE,With Injuries/Illness,II,,2.0,,2018.0
165,7484088.0,CASUALTY_ILLNESS_TYPE,Trapped/In Need of Rescue,T/INR,,3.0,,2018.0
166,7484089.0,CASUALTY_ILLNESS_TYPE,Missing,M,,4.0,,2018.0
167,7484090.0,CASUALTY_ILLNESS_TYPE,Evacuated,E,,5.0,,2018.0
168,7484091.0,WORLD_TIME_ZONE,US/Aleutian,,US/Aleutian,20.0,,2018.0
169,7484092.0,WORLD_TIME_ZONE,US/Arizona,,US/Arizona,30.0,,2018.0
170,7484093.0,CASUALTY_ILLNESS_TYPE,Sheltering in Place,SIP,,6.0,,2018.0
171,7484094.0,CASUALTY_ILLNESS_TYPE,In Temporary Shelters,ITS,,7.0,,2018.0
172,7484095.0,CASUALTY_ILLNESS_TYPE,Have Received Mass Immunizations,MI,,8.0,,2018.0
173,7484096.0,CASUALTY_ILLNESS_TYPE,Require Immunizations,RI,,9.0,,2018.0
174,7484097.0,CASUALTY_ILLNESS_TYPE,In Quarantine,IQ,,10.0,,2018.0
175,7484098.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,No Likely Threat,NLT,,1.0,,2018.0
176,7484099.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Potential Future Threat,PFT,,2.0,,2018.0
177,7484100.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Mass Notifications in Progress,MNP,,3.0,,2018.0
178,7484101.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Mass Notifications Completed,MNC,,4.0,,2018.0
179,7484102.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,No Evacuation(s) Imminent,NEI,,5.0,,2018.0
180,7484103.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Planning for Evacuation,PE,,6.0,,2018.0
181,7484104.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Planning for Shelter-in-Place,PSIP,,7.0,,2018.0
182,7484105.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Evacuation(s) in Progress,EP,,8.0,,2018.0
183,7484106.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Shelter-in-Place in Progress,SIPP,,9.0,,2018.0
184,7484107.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Repopulation in Progress,RP,,10.0,,2018.0
185,7484108.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Mass Immunization in Progress,MIP,,11.0,,2018.0
186,7484109.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Mass Immunization Complete,MIC,,12.0,,2018.0
187,7484110.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Quarantine in Progress,QP,,13.0,,2018.0
188,7484111.0,LIFE_SAFETY_HEALTH_THREAT_TYPE,Area Restriction in Effect,AR,,14.0,,2018.0
189,7484112.0,STRUCTURE_SUMMARY_TYPE,Single Residences,SR,,1.0,,2018.0
190,7484113.0,NORTH_AMERICAN_TIME_ZONE,US/Samoa,SST,US/Samoa (SST),8.0,,2018.0
191,7484114.0,NORTH_AMERICAN_TIME_ZONE,US/Arizona,MST,US/Arizona (MST),9.0,,2018.0
192,7484115.0,NORTH_AMERICAN_TIME_ZONE,America/Puerto_Rico,AST,America/Puerto_Rico (AST),10.0,,2018.0
193,7484116.0,NORTH_AMERICAN_TIME_ZONE,Canada/Newfoundland,NST/NDT,Canada/Newfoundland (NST/NDT),11.0,,2018.0
194,7484117.0,PRINCIPAL_MERIDIAN,1st Principal Meridian,01,,1.0,,2018.0
195,7484118.0,PRINCIPAL_MERIDIAN,2nd Principal Meridian,02,,2.0,,2018.0
196,7484119.0,PRINCIPAL_MERIDIAN,3rd Principal Meridian,03,,3.0,,2018.0
197,7484120.0,PRINCIPAL_MERIDIAN,4th Principal Meridian,04,,4.0,,2018.0
198,7484121.0,PRINCIPAL_MERIDIAN,5th Principal Meridian,05,,5.0,,2018.0
199,7484122.0,PRINCIPAL_MERIDIAN,6th Principal Meridian,06,,6.0,,2018.0
200,7484123.0,PRINCIPAL_MERIDIAN,Mt. Diablo,21,,21.0,,2018.0
201,7484124.0,PRINCIPAL_MERIDIAN,New Mexico,23,,23.0,,2018.0
202,7484125.0,PRINCIPAL_MERIDIAN,Ohio,35,,35.0,,2018.0
203,7484126.0,PRINCIPAL_MERIDIAN,Great Miami River,36,,36.0,,2018.0
204,7484127.0,PRINCIPAL_MERIDIAN,Muskingum River,37,,37.0,,2018.0
205,7484128.0,PRINCIPAL_MERIDIAN,Ohio River,38,,38.0,,2018.0
206,7484129.0,PRINCIPAL_MERIDIAN,1st Scioto River,39,,39.0,,2018.0
207,7484130.0,PRINCIPAL_MERIDIAN,2nd Scioto River,40,,40.0,,2018.0
208,7484131.0,PRINCIPAL_MERIDIAN,3rd Scioto River,41,,41.0,,2018.0
209,7484132.0,PRINCIPAL_MERIDIAN,Ellicotts Line,42,,42.0,,2018.0
210,7484133.0,PRINCIPAL_MERIDIAN,12 Mile Square,43,,43.0,,2018.0
211,7484134.0,WORLD_TIME_ZONE,US/Central,,US/Central,40.0,,2018.0
212,7484135.0,WORLD_TIME_ZONE,US/East-Indiana,,US/East-Indiana,50.0,,2018.0
213,7484136.0,WORLD_TIME_ZONE,US/Eastern,,US/Eastern,60.0,,2018.0
214,7484137.0,WORLD_TIME_ZONE,US/Hawaii,,US/Hawaii,70.0,,2018.0
215,7484138.0,WORLD_TIME_ZONE,US/Indiana-Starke,,US/Indiana-Starke,80.0,,2018.0
216,7484139.0,WORLD_TIME_ZONE,US/Michigan,,US/Michigan,90.0,,2018.0
