INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
11970491,11970319,10/24/2020 7:00:00 PM,10/25/2020 6:00:00 PM,U,10142.000000,27,9429753,9429771,,9429890,11/10/2020 12:00:00 PM,,100,9429772,,9430150,9430157,9430156,9430166
11970566,11970319,10/27/2020 7:00:00 PM,10/28/2020 5:00:00 PM,U,10142.000000,47,9429753,9429771,,9429890,11/10/2020 12:00:00 PM,,100,9429772,,9430150,9430166,9430158,
11970583,11970319,10/28/2020 7:00:00 PM,10/29/2020 6:00:00 PM,U,10142.000000,52,9429753,9429771,,9429890,11/10/2020 12:00:00 PM,,100,9429772,,9430150,9430166,9430158,
11970600,11970319,10/29/2020 7:00:00 PM,10/30/2020 2:00:00 PM,U,10142.000000,61,9429753,9429771,10142,9429890,11/10/2020 12:00:00 PM,,100,9429772,,9430150,9430166,,
11970615,11970319,10/30/2020 7:00:00 PM,10/31/2020 2:00:00 PM,U,10142.000000,61,9429750,9429771,10142,9429890,11/10/2020 12:00:00 PM,,100,9429772,,9430150,9430166,,
11970626,11970319,10/31/2020 4:30:00 PM,11/5/2020 3:30:00 PM,U,10142.000000,61,9429750,9429771,10142,9429890,11/10/2020 12:00:00 PM,,100,9429772,,9430150,9430166,,
11970649,11970319,11/5/2020 5:00:00 PM,11/13/2020 3:00:00 PM,U,10142.000000,70,9429750,9429771,10142,9429890,11/10/2020 12:00:00 PM,,100,9429772,,9430150,9430166,,
11970641,11970319,11/12/2020 5:30:00 PM,11/19/2020 5:00:00 PM,U,10142.000000,70,9429750,9429771,10142,9429890,12/20/2020 12:00:00 PM,,100,9429772,,9430150,9430166,,
11970682,11970319,11/19/2020 5:00:00 PM,11/25/2020 11:30:00 AM,U,10142.000000,80,9429750,9429771,10142,9429890,12/20/2020 12:00:00 PM,,100,9429772,,9430150,9430166,,
11970673,11970319,11/25/2020 1:30:00 PM,12/2/2020 10:00:00 AM,U,10142.000000,80,9429750,9429771,10142,9429890,12/20/2020 12:00:00 PM,,100,9429772,,9430150,9430166,,
