INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
7298336,7298319,2017-07-31 01:15:00,2017-08-01 19:00:00,F,0.0,100.0,4495897.0,4495918.0,,,2017-07-31 12:00:00,,100,,,4496298.0,,,
7298344,7298319,2017-07-21 01:15:00,2017-07-27 15:00:00,U,0.0,1.0,4495897.0,4495918.0,,,2017-07-31 12:00:00,,0,,,4496298.0,,,
7298353,7298352,2017-07-25 20:00:00,2017-07-26 18:00:00,U,23387.0,61.0,4495897.0,4495909.0,25000,4496037.0,2017-09-30 12:00:00,,100,4495913.0,4495916.0,4496298.0,4496314,,
7299035,7298734,2017-07-12 07:00:00,2017-07-12 17:00:00,U,1145.0,30.0,4495899.0,4495910.0,1500,4496037.0,2017-07-31 12:00:00,,100,,,4496296.0,,,
7299065,7298734,2017-07-13 19:00:00,2017-07-14 19:00:00,U,1145.0,40.0,4495899.0,4495910.0,1500,4496037.0,2017-07-31 12:00:00,,100,,,4496296.0,,,
7301288,7301287,2017-09-20 16:00:00,2017-09-21 16:00:00,U,75.0,50.0,4495897.0,4495910.0,200,4496037.0,2017-09-21 12:00:00,,100,4495918.0,4495913.0,4496298.0,4496314,,
7301303,7301287,2017-09-16 16:00:00,2017-09-17 16:00:00,U,75.0,50.0,4495897.0,4495910.0,200,4496037.0,2017-09-21 12:00:00,,100,4495918.0,4495913.0,4496298.0,4496314,,
7302118,7302117,2017-07-09 22:00:00,2017-07-10 20:00:00,F,1369.0,100.0,4495897.0,4495913.0,1369,4496037.0,2017-07-10 12:00:00,,100,,,4496298.0,,,
7302132,7302117,2017-07-09 04:00:00,2017-07-09 19:30:00,I,1369.0,100.0,4495897.0,4495913.0,1369,4496037.0,2017-07-10 12:00:00,,100,,,4496298.0,,,
7302153,7302152,2017-07-10 21:15:00,2017-07-11 18:30:00,U,2112.0,95.0,4495897.0,4495909.0,2112,4496037.0,2017-07-12 12:00:00,,100,4495913.0,,4496298.0,4496314,,
7302169,7302152,2017-07-11 21:00:00,2017-07-12 19:00:00,F,2112.0,100.0,4495897.0,4495909.0,2112,4496037.0,2017-07-12 12:00:00,,100,4495913.0,,4496298.0,,,
7302178,7302152,2017-07-09 21:00:00,2017-07-10 20:15:00,U,2112.0,49.0,4495898.0,4495909.0,2112,4496037.0,2017-07-11 12:00:00,,100,4495913.0,,4496298.0,4496314,,
7302197,7302152,2017-07-09 01:15:00,2017-07-09 19:45:00,I,1500.0,49.0,4495898.0,4495909.0,1500,4496037.0,2017-07-10 12:00:00,,100,4495913.0,,4496298.0,4496314,,
7302219,7302218,2017-07-21 11:30:00,2017-07-21 19:30:00,F,416.0,100.0,4495898.0,4495911.0,416,4496037.0,2017-07-21 12:00:00,,100,,,4496298.0,4496314,,
7303075,7302734,2017-10-01 08:00:00,2017-10-01 18:45:00,U,1700.0,0.0,4495898.0,4495918.0,,,2017-11-27 12:00:00,,0,4495913.0,4495909.0,4496296.0,4496304,4496301,
7303124,7303123,2017-09-26 12:45:00,2017-09-26 16:15:00,I,100.0,26.0,4495897.0,4495910.0,,,2017-09-26 12:00:00,,100,,,4496298.0,,,
